	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
FAM76B									0.000334384																					0.000334384
FOXF1									0.000334384																					0.000334384
GALNTL2									0.000334384																					0.000334384
KPNB1									0.000334384																					0.000334384
ODZ3									0.000334384																					0.000334384
PCDHB9									0.000334384																					0.000334384
TAB3									0.000334384																					0.000334384
TMPRSS11BNL									0.000334384																					0.000334384
SESN3														0.000160693	0.000173452															0.000334145
CPPED1															0.000165192										0.000168818					0.00033401
MTSS1														0.0002096	0.000123894															0.000333494
PRRT4														6.29E-05															0.000270536	0.000333416
PLAU														0.00016768	0.000165192															0.000332872
ZSCAN2														0.000160693	3.30E-05										0.000138124					0.000331855
TMEM63C														0.000223573	0.000107375															0.000330948
ANP32A															0.000330385															0.000330385
BMF															0.000330385															0.000330385
CACNA1I															0.000330385															0.000330385
CERS6															0.000330385															0.000330385
CSAG1															0.000330385															0.000330385
DDX21															0.000330385															0.000330385
FAM49A															0.000330385															0.000330385
FCGR3B															0.000330385															0.000330385
NCKAP1															0.000330385															0.000330385
SCN1A															0.000330385															0.000330385
SLC6A2															0.000330385															0.000330385
SLFN11															0.000330385															0.000330385
TBX15															0.000330385															0.000330385
PTGES																									0.000329962					0.000329962
SHCBP1																									0.000329962					0.000329962
ZNF223																									0.000329962					0.000329962
ZNF799																									0.000329962					0.000329962
AMER1														8.38E-05															0.000245942	0.000329782
ATP6V1C1														8.38E-05											0.000245553					0.000329393
KIF11														9.08E-05											0.00023788					0.000328706
APOBEC3D														0.000328373																0.000328373
ATOX1														0.000328373																0.000328373
BST2														0.000328373																0.000328373
CTXN1														0.000328373																0.000328373
GFOD1														0.000328373																0.000328373
L3MBTL2														0.000328373																0.000328373
SIRPB1														0.000328373																0.000328373
ZCCHC10														0.000153706	0.000173452															0.000327158
RAB15														0.0001048															0.000221348	0.000326148
MLEC														2.79E-05	0.000297346															0.000325293
LUZP1														0.0002096	0.000115635															0.000325234
STBD1														0.0002096	0.000115635															0.000325234
HAUS6															0.000148673										0.000176491					0.000325164
GCSAML															0.000140413										0.000184165					0.000324578
CHML															0.000132154										0.000191838					0.000323992
GNPNAT1														0.00012576	8.26E-05										0.000115103					0.000323459
PROK1														8.38E-05	0.000239529															0.000323369
SAA2														4.19E-05	0.000280827															0.000322747
SLC5A1														0.000223573	9.91E-05															0.000322688
KDELC2														0.000153706											0.000168818					0.000322524
BLOC1S6																									0.000322289					0.000322289
FAM115C																									0.000322289					0.000322289
NCAPD2																									0.000322289					0.000322289
RASA4																									0.000322289					0.000322289
SLC4A4																									0.000322289					0.000322289
SLC50A1																									0.000322289					0.000322289
USP14																									0.000322289					0.000322289
ITGAV															0.000322125															0.000322125
KLRC4-KLRK1															0.000322125															0.000322125
KLRK1															0.000322125															0.000322125
KTN1															0.000322125															0.000322125
RAP1GAP															0.000322125															0.000322125
RTKN															0.000322125															0.000322125
